"id","old_id"
30349,"1983041833"
30350,"1983041933"
30351,"1983042033"
30352,"1983042133"
30353,"1983042233"
30354,"1983042333"
30355,"1983042433"
30356,"1983042512"
30357,"1983042533"
30358,"1983042612"
30359,"1983042633"
30360,"1983042712"
30361,"1983042733"
30362,"1983042812"
30363,"1983042833"
30364,"1983042912"
30365,"1983042933"
30366,"1983043012"
30367,"1983043033"
30368,"1983050112"
30369,"1983050133"
30370,"1983050212"
30371,"1983050233"
30372,"1983050238"
30373,"1983050312"
30374,"1983050333"
30375,"1983050338"
30376,"1983050412"
30377,"1983050433"
30378,"1983050438"
30379,"1983050512"
30380,"1983050533"
30381,"1983050538"
30382,"1983050612"
30383,"1983050633"
30384,"1983050638"
30385,"1983050712"
30386,"1983050733"
30387,"1983050738"
30388,"1983050812"
30389,"1983050833"
30390,"1983050838"
30391,"1983050908"
30392,"1983050912"
30393,"1983050933"
30394,"1983050938"
30395,"1983051008"
30396,"1983051012"
30397,"1983051033"
30398,"1983051038"
30399,"1983051108"
30400,"1983051112"
30401,"1983051133"
30402,"1983051138"
30403,"1983051208"
30404,"1983051212"
30405,"1983051233"
30406,"1983051238"
30407,"1983051308"
30408,"1983051312"
30409,"1983051333"
30410,"1983051338"
30411,"1983051408"
30412,"1983051412"
30413,"1983051433"
30414,"1983051438"
30415,"1983051508"
30416,"1983051512"
30417,"1983051533"
30418,"1983051538"
30419,"1983051608"
30420,"1983051611"
30421,"1983051612"
30422,"1983051633"
30423,"1983051637"
30424,"1983051638"
30425,"1983051708"
30426,"1983051711"
30427,"1983051712"
30428,"1983051733"
30429,"1983051737"
30430,"1983051738"
30431,"1983051808"
30432,"1983051811"
30433,"1983051812"
30434,"1983051833"
30435,"1983051837"
30436,"1983051838"
30437,"1983051908"
30438,"1983051911"
30439,"1983051912"
30440,"1983051933"
30441,"1983051937"
30442,"1983051938"
30443,"1983052008"
30444,"1983052011"
30445,"1983052012"
30446,"1983052033"
30447,"1983052037"
30448,"1983052038"
30449,"1983052108"
30450,"1983052111"
30451,"1983052112"
30452,"1983052133"
30453,"1983052137"
30454,"1983052138"
30455,"1983052208"
30456,"1983052211"
30457,"1983052212"
30458,"1983052233"
30459,"1983052237"
30460,"1983052238"
30461,"1983052308"
30462,"1983052312"
30463,"1983052408"
30464,"1983052412"
30465,"1983052508"
30466,"1983052512"
30467,"1983052608"
30468,"1983052612"
30469,"1983052708"
30470,"1983052712"
30471,"1983052808"
30472,"1983052812"
30473,"1983052908"
30474,"1983052912"
30475,"1983053008"
30476,"1983053012"
30477,"1983053108"
30478,"1983053112"
30479,"1983060108"
30480,"1983060112"
30481,"1983060208"
30482,"1983060212"
30483,"1983060308"
30484,"1983060312"
30485,"1983060408"
30486,"1983060412"
30487,"1983060508"
30488,"1983060512"
30489,"1983060608"
30490,"1983060612"
30491,"1983060708"
30492,"1983060712"
30493,"1983060808"
30494,"1983060812"
30495,"1983060908"
30496,"1983060912"
30497,"1983061008"
30498,"1983061012"
30499,"1983061108"
30500,"1983061112"
30501,"1983061208"
30502,"1983061212"
30503,"1983061308"
30504,"1983061312"
30505,"1983061408"
30506,"1983061412"
30507,"1983061508"
30508,"1983061512"
30509,"1983061608"
30510,"1983061612"
30511,"1983061708"
30512,"1983061712"
30513,"1983061808"
30514,"1983061812"
30515,"1983061908"
30516,"1983061912"
30517,"1983062012"
30518,"1983062112"
30519,"1983062212"
30520,"1983062312"
30521,"1983062412"
30522,"1983062512"
30523,"1983062612"
30524,"1983062712"
30525,"1983062812"
30526,"1983062912"
30527,"1983063012"
30528,"1984042333"
30529,"1984042433"
30530,"1984042533"
30531,"1984042633"
30532,"1984042733"
30533,"1984042833"
30534,"1984042933"
30535,"1984043006"
30536,"1984043011"
30537,"1984043012"
30538,"1984043023"
30539,"1984043028"
30540,"1984043033"
30541,"1984050106"
30542,"1984050111"
30543,"1984050112"
30544,"1984050123"
30545,"1984050128"
30546,"1984050133"
30547,"1984050206"
30548,"1984050211"
30549,"1984050212"
30550,"1984050223"
30551,"1984050228"
30552,"1984050233"
30553,"1984050306"
30554,"1984050311"
30555,"1984050312"
30556,"1984050323"
30557,"1984050328"
30558,"1984050333"
30559,"1984050406"
30560,"1984050411"
30561,"1984050412"
30562,"1984050423"
30563,"1984050428"
30564,"1984050433"
30565,"1984050506"
30566,"1984050511"
30567,"1984050512"
30568,"1984050523"
30569,"1984050528"
30570,"1984050533"
30571,"1984050606"
30572,"1984050611"
30573,"1984050612"
30574,"1984050623"
30575,"1984050628"
30576,"1984050633"
30577,"1984050706"
30578,"1984050711"
30579,"1984050712"
30580,"1984050720"
30581,"1984050721"
30582,"1984050723"
30583,"1984050728"
30584,"1984050733"
30585,"1984050734"
30586,"1984050737"
30587,"1984050738"
30588,"1984050746"
30589,"1984050748"
30590,"1984050749"
30591,"1984050806"
30592,"1984050811"
30593,"1984050812"
30594,"1984050820"
30595,"1984050821"
30596,"1984050823"
30597,"1984050828"
30598,"1984050833"
30599,"1984050834"
30600,"1984050837"
30601,"1984050838"
30602,"1984050846"
30603,"1984050848"
30604,"1984050849"
30605,"1984050906"
30606,"1984050911"
30607,"1984050912"
30608,"1984050920"
30609,"1984050921"
30610,"1984050923"
30611,"1984050928"
30612,"1984050933"
30613,"1984050934"
30614,"1984050937"
30615,"1984050938"
30616,"1984050946"
30617,"1984050948"
30618,"1984050949"
30619,"1984051006"
30620,"1984051011"
30621,"1984051012"
30622,"1984051020"
30623,"1984051021"
30624,"1984051023"
30625,"1984051028"
30626,"1984051033"
30627,"1984051034"
30628,"1984051037"
30629,"1984051038"
30630,"1984051046"
30631,"1984051048"
30632,"1984051049"
30633,"1984051106"
30634,"1984051111"
30635,"1984051112"
30636,"1984051120"
30637,"1984051121"
30638,"1984051123"
30639,"1984051128"
30640,"1984051133"
30641,"1984051134"
30642,"1984051137"
30643,"1984051138"
30644,"1984051146"
30645,"1984051148"
30646,"1984051149"
30647,"1984051206"
30648,"1984051211"
30649,"1984051212"
30650,"1984051220"
30651,"1984051221"
30652,"1984051223"
30653,"1984051228"
30654,"1984051233"
30655,"1984051234"
30656,"1984051237"
30657,"1984051238"
30658,"1984051246"
30659,"1984051248"
30660,"1984051249"
30661,"1984051306"
30662,"1984051311"
30663,"1984051312"
30664,"1984051320"
30665,"1984051321"
30666,"1984051323"
30667,"1984051328"
30668,"1984051333"
30669,"1984051334"
30670,"1984051337"
30671,"1984051338"
30672,"1984051346"
30673,"1984051348"
30674,"1984051349"
30675,"1984051406"
30676,"1984051408"
30677,"1984051411"
30678,"1984051412"
30679,"1984051418"
30680,"1984051419"
30681,"1984051420"
30682,"1984051421"
30683,"1984051423"
30684,"1984051424"
30685,"1984051428"
30686,"1984051433"
30687,"1984051434"
30688,"1984051435"
30689,"1984051437"
30690,"1984051438"
30691,"1984051439"
30692,"1984051441"
30693,"1984051443"
30694,"1984051445"
30695,"1984051446"
30696,"1984051447"
30697,"1984051448"
30698,"1984051449"
30699,"1984051450"
30700,"1984051455"
30701,"1984051456"
30702,"1984051457"
30703,"1984051459"
30704,"1984051466"
30705,"1984051468"
30706,"1984051490"
30707,"1984051506"
30708,"1984051508"
30709,"1984051511"
30710,"1984051512"
30711,"1984051518"
30712,"1984051519"
30713,"1984051520"
30714,"1984051521"
30715,"1984051523"
30716,"1984051524"
30717,"1984051528"
30718,"1984051533"
30719,"1984051534"
30720,"1984051535"
30721,"1984051537"
30722,"1984051538"
30723,"1984051539"
30724,"1984051541"
30725,"1984051543"
30726,"1984051545"
30727,"1984051546"
30728,"1984051547"
30729,"1984051548"
30730,"1984051549"
30731,"1984051550"
30732,"1984051555"
30733,"1984051556"
30734,"1984051557"
30735,"1984051559"
30736,"1984051566"
30737,"1984051568"
30738,"1984051590"
30739,"1984051606"
30740,"1984051608"
30741,"1984051611"
30742,"1984051612"
30743,"1984051618"
30744,"1984051619"
30745,"1984051620"
30746,"1984051621"
30747,"1984051623"
30748,"1984051624"
30749,"1984051628"
30750,"1984051633"
30751,"1984051634"
30752,"1984051635"
30753,"1984051637"
30754,"1984051638"
30755,"1984051639"
30756,"1984051641"
