,sample_id,length_bin_id,count
0,1990050712,25.0,2
1,1990050712,25.5,4
2,1990050712,26.0,10
3,1990050712,26.5,17
4,1990050712,27.0,11
5,1990050712,27.5,22
6,1990050712,28.0,14
7,1990050712,28.5,25
8,1990050712,29.0,21
9,1990050712,29.5,12
10,1990050712,30.0,7
11,1990050712,30.5,3
12,1990050712,31.0,8
13,1990050712,31.5,1
14,1990050805,24.5,5
15,1990050805,25.0,5
16,1990050805,25.5,9
17,1990050805,26.0,22
18,1990050805,26.5,15
19,1990050805,27.0,19
20,1990050805,27.5,16
21,1990050805,28.0,9
22,1990050805,28.5,20
23,1990050805,29.0,10
24,1990050805,29.5,10
25,1990050805,30.0,8
26,1990050805,30.5,2
27,1990050805,31.0,2
28,1990050908,24.0,2
29,1990050908,24.5,1
30,1990050908,25.0,17
31,1990050908,25.5,17
32,1990050908,26.0,26
33,1990050908,26.5,31
34,1990050908,27.0,15
35,1990050908,27.5,31
36,1990050908,28.0,20
37,1990050908,28.5,20
38,1990050908,29.0,21
39,1990050908,29.5,13
40,1990050908,30.0,11
41,1990050908,30.5,1
42,1990050908,31.0,1
43,1990051008,24.5,1
44,1990051008,25.0,1
45,1990051008,25.5,4
46,1990051008,26.0,11
47,1990051008,26.5,7
48,1990051008,27.0,11
49,1990051008,27.5,30
50,1990051008,28.0,29
51,1990051008,28.5,36
52,1990051008,29.0,32
53,1990051008,29.5,33
54,1990051008,30.0,20
55,1990051008,30.5,7
56,1990051008,31.0,4
57,1990051048,24.5,5
58,1990051048,25.0,2
59,1990051048,25.5,9
60,1990051048,26.0,12
61,1990051048,26.5,16
62,1990051048,27.0,9
63,1990051048,27.5,25
64,1990051048,28.0,14
65,1990051048,28.5,15
66,1990051048,29.0,18
67,1990051048,29.5,12
68,1990051048,30.0,8
69,1990051048,30.5,2
70,1990051048,31.0,3
71,1990051104,24.5,2
72,1990051104,25.0,3
73,1990051104,25.5,10
74,1990051104,26.0,14
75,1990051104,26.5,12
76,1990051104,27.0,17
77,1990051104,27.5,22
78,1990051104,28.0,17
79,1990051104,28.5,25
80,1990051104,29.0,22
81,1990051104,29.5,13
82,1990051104,30.0,10
83,1990051104,31.0,2
84,1990051134,25.0,1
85,1990051134,25.5,1
86,1990051134,26.0,11
87,1990051134,26.5,12
88,1990051134,27.0,16
89,1990051134,27.5,37
90,1990051134,28.0,30
91,1990051134,28.5,38
92,1990051134,29.0,36
93,1990051134,29.5,17
94,1990051134,30.0,9
95,1990051134,30.5,5
96,1990051134,31.0,3
97,1990051134,31.5,1
98,1990051134,32.0,1
99,1990051256,24.5,1
100,1990051256,25.0,7
101,1990051256,25.5,6
102,1990051256,26.0,8
103,1990051256,26.5,15
104,1990051256,27.0,16
105,1990051256,27.5,42
106,1990051256,28.0,27
107,1990051256,28.5,35
108,1990051256,29.0,27
109,1990051256,29.5,14
110,1990051256,30.0,10
111,1990051256,30.5,4
112,1990051256,31.0,2
113,1990051423,23.0,1
114,1990051423,23.5,1
115,1990051423,24.0,6
116,1990051423,24.5,20
117,1990051423,25.0,21
118,1990051423,25.5,30
119,1990051423,26.0,17
120,1990051423,26.5,19
121,1990051423,27.0,18
122,1990051423,27.5,9
123,1990051423,28.0,17
124,1990051423,28.5,9
125,1990051423,29.0,5
126,1990051423,29.5,3
127,1990051423,30.0,1
128,1990051467,24.0,4
129,1990051467,24.5,17
130,1990051467,25.0,34
131,1990051467,25.5,29
132,1990051467,26.0,18
133,1990051467,26.5,30
134,1990051467,27.0,19
135,1990051467,27.5,19
