yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin,DATETIME,SITE1,SITE2,SITE3,id,length_bin_id,FLAG_SITE,FLAG_PERIOD,FLAG_AM_PM_PERIOD_DISCREPANCIES
1990,5,7,,,2,12,LOWER,PM,,,250,1,250,1990-05-07 00:00:00,12,,,1990050712,25.0,,,
1990,5,7,,,2,12,LOWER,PM,,,253,1,250,1990-05-07 00:00:00,12,,,1990050712,25.0,,,
1990,5,7,,,2,12,LOWER,PM,,,255,2,255,1990-05-07 00:00:00,12,,,1990050712,25.5,,,
1990,5,7,,,2,12,LOWER,PM,,,258,2,255,1990-05-07 00:00:00,12,,,1990050712,25.5,,,
1990,5,7,,,2,12,LOWER,PM,,,260,7,260,1990-05-07 00:00:00,12,,,1990050712,26.0,,,
1990,5,7,,,2,12,LOWER,PM,,,263,3,260,1990-05-07 00:00:00,12,,,1990050712,26.0,,,
1990,5,7,,,2,12,LOWER,PM,,,265,13,265,1990-05-07 00:00:00,12,,,1990050712,26.5,,,
1990,5,7,,,2,12,LOWER,PM,,,268,4,265,1990-05-07 00:00:00,12,,,1990050712,26.5,,,
1990,5,7,,,2,12,LOWER,PM,,,270,5,270,1990-05-07 00:00:00,12,,,1990050712,27.0,,,
1990,5,7,,,2,12,LOWER,PM,,,273,6,270,1990-05-07 00:00:00,12,,,1990050712,27.0,,,
1990,5,7,,,2,12,LOWER,PM,,,275,14,275,1990-05-07 00:00:00,12,,,1990050712,27.5,,,
1990,5,7,,,2,12,LOWER,PM,,,278,8,275,1990-05-07 00:00:00,12,,,1990050712,27.5,,,
1990,5,7,,,2,12,LOWER,PM,,,280,7,280,1990-05-07 00:00:00,12,,,1990050712,28.0,,,
1990,5,7,,,2,12,LOWER,PM,,,283,7,280,1990-05-07 00:00:00,12,,,1990050712,28.0,,,
1990,5,7,,,2,12,LOWER,PM,,,285,11,285,1990-05-07 00:00:00,12,,,1990050712,28.5,,,
1990,5,7,,,2,12,LOWER,PM,,,288,14,285,1990-05-07 00:00:00,12,,,1990050712,28.5,,,
1990,5,7,,,2,12,LOWER,PM,,,290,13,290,1990-05-07 00:00:00,12,,,1990050712,29.0,,,
1990,5,7,,,2,12,LOWER,PM,,,293,8,290,1990-05-07 00:00:00,12,,,1990050712,29.0,,,
1990,5,7,,,2,12,LOWER,PM,,,295,8,295,1990-05-07 00:00:00,12,,,1990050712,29.5,,,
1990,5,7,,,2,12,LOWER,PM,,,298,4,295,1990-05-07 00:00:00,12,,,1990050712,29.5,,,
1990,5,7,,,2,12,LOWER,PM,,,300,2,300,1990-05-07 00:00:00,12,,,1990050712,30.0,,,
1990,5,7,,,2,12,LOWER,PM,,,303,5,300,1990-05-07 00:00:00,12,,,1990050712,30.0,,,
1990,5,7,,,2,12,LOWER,PM,,,305,2,305,1990-05-07 00:00:00,12,,,1990050712,30.5,,,
1990,5,7,,,2,12,LOWER,PM,,,308,1,305,1990-05-07 00:00:00,12,,,1990050712,30.5,,,
1990,5,7,,,2,12,LOWER,PM,,,310,6,310,1990-05-07 00:00:00,12,,,1990050712,31.0,,,
1990,5,7,,,2,12,LOWER,PM,,,313,2,310,1990-05-07 00:00:00,12,,,1990050712,31.0,,,
1990,5,7,,,2,12,LOWER,PM,,,315,1,315,1990-05-07 00:00:00,12,,,1990050712,31.5,,,
1990,5,8,,,2,5,LOWER,PM,,,245,1,245,1990-05-08 00:00:00,5,,,1990050805,24.5,,,
1990,5,8,,,2,5,LOWER,PM,,,248,4,245,1990-05-08 00:00:00,5,,,1990050805,24.5,,,
1990,5,8,,,2,5,LOWER,PM,,,250,3,250,1990-05-08 00:00:00,5,,,1990050805,25.0,,,
1990,5,8,,,2,5,LOWER,PM,,,253,2,250,1990-05-08 00:00:00,5,,,1990050805,25.0,,,
1990,5,8,,,2,5,LOWER,PM,,,255,2,255,1990-05-08 00:00:00,5,,,1990050805,25.5,,,
1990,5,8,,,2,5,LOWER,PM,,,258,7,255,1990-05-08 00:00:00,5,,,1990050805,25.5,,,
1990,5,8,,,2,5,LOWER,PM,,,260,8,260,1990-05-08 00:00:00,5,,,1990050805,26.0,,,
1990,5,8,,,2,5,LOWER,PM,,,263,14,260,1990-05-08 00:00:00,5,,,1990050805,26.0,,,
1990,5,8,,,2,5,LOWER,PM,,,265,5,265,1990-05-08 00:00:00,5,,,1990050805,26.5,,,
1990,5,8,,,2,5,LOWER,PM,,,268,10,265,1990-05-08 00:00:00,5,,,1990050805,26.5,,,
1990,5,8,,,2,5,LOWER,PM,,,270,7,270,1990-05-08 00:00:00,5,,,1990050805,27.0,,,
1990,5,8,,,2,5,LOWER,PM,,,273,12,270,1990-05-08 00:00:00,5,,,1990050805,27.0,,,
1990,5,8,,,2,5,LOWER,PM,,,275,4,275,1990-05-08 00:00:00,5,,,1990050805,27.5,,,
1990,5,8,,,2,5,LOWER,PM,,,278,12,275,1990-05-08 00:00:00,5,,,1990050805,27.5,,,
1990,5,8,,,2,5,LOWER,PM,,,280,2,280,1990-05-08 00:00:00,5,,,1990050805,28.0,,,
1990,5,8,,,2,5,LOWER,PM,,,283,7,280,1990-05-08 00:00:00,5,,,1990050805,28.0,,,
1990,5,8,,,2,5,LOWER,PM,,,285,11,285,1990-05-08 00:00:00,5,,,1990050805,28.5,,,
1990,5,8,,,2,5,LOWER,PM,,,288,9,285,1990-05-08 00:00:00,5,,,1990050805,28.5,,,
1990,5,8,,,2,5,LOWER,PM,,,290,4,290,1990-05-08 00:00:00,5,,,1990050805,29.0,,,
1990,5,8,,,2,5,LOWER,PM,,,293,6,290,1990-05-08 00:00:00,5,,,1990050805,29.0,,,
1990,5,8,,,2,5,LOWER,PM,,,295,3,295,1990-05-08 00:00:00,5,,,1990050805,29.5,,,
1990,5,8,,,2,5,LOWER,PM,,,298,7,295,1990-05-08 00:00:00,5,,,1990050805,29.5,,,
1990,5,8,,,2,5,LOWER,PM,,,300,1,300,1990-05-08 00:00:00,5,,,1990050805,30.0,,,
1990,5,8,,,2,5,LOWER,PM,,,303,7,300,1990-05-08 00:00:00,5,,,1990050805,30.0,,,
1990,5,8,,,2,5,LOWER,PM,,,305,2,305,1990-05-08 00:00:00,5,,,1990050805,30.5,,,
1990,5,8,,,2,5,LOWER,PM,,,310,1,310,1990-05-08 00:00:00,5,,,1990050805,31.0,,,
1990,5,8,,,2,5,LOWER,PM,,,313,1,310,1990-05-08 00:00:00,5,,,1990050805,31.0,,,
1990,5,9,,,2,8,LOWER,AM,,,240,2,240,1990-05-09 00:00:00,8,,,1990050908,24.0,,,
1990,5,9,,,2,8,LOWER,AM,,,245,1,245,1990-05-09 00:00:00,8,,,1990050908,24.5,,,
1990,5,9,,,2,8,LOWER,AM,,,250,8,250,1990-05-09 00:00:00,8,,,1990050908,25.0,,,
1990,5,9,,,2,8,LOWER,AM,,,253,9,250,1990-05-09 00:00:00,8,,,1990050908,25.0,,,
1990,5,9,,,2,8,LOWER,AM,,,255,9,255,1990-05-09 00:00:00,8,,,1990050908,25.5,,,
1990,5,9,,,2,8,LOWER,AM,,,258,8,255,1990-05-09 00:00:00,8,,,1990050908,25.5,,,
1990,5,9,,,2,8,LOWER,AM,,,260,15,260,1990-05-09 00:00:00,8,,,1990050908,26.0,,,
1990,5,9,,,2,8,LOWER,AM,,,263,11,260,1990-05-09 00:00:00,8,,,1990050908,26.0,,,
1990,5,9,,,2,8,LOWER,AM,,,265,27,265,1990-05-09 00:00:00,8,,,1990050908,26.5,,,
1990,5,9,,,2,8,LOWER,AM,,,268,4,265,1990-05-09 00:00:00,8,,,1990050908,26.5,,,
1990,5,9,,,2,8,LOWER,AM,,,270,10,270,1990-05-09 00:00:00,8,,,1990050908,27.0,,,
1990,5,9,,,2,8,LOWER,AM,,,273,5,270,1990-05-09 00:00:00,8,,,1990050908,27.0,,,
1990,5,9,,,2,8,LOWER,AM,,,275,15,275,1990-05-09 00:00:00,8,,,1990050908,27.5,,,
1990,5,9,,,2,8,LOWER,AM,,,278,16,275,1990-05-09 00:00:00,8,,,1990050908,27.5,,,
1990,5,9,,,2,8,LOWER,AM,,,280,15,280,1990-05-09 00:00:00,8,,,1990050908,28.0,,,
1990,5,9,,,2,8,LOWER,AM,,,283,5,280,1990-05-09 00:00:00,8,,,1990050908,28.0,,,
1990,5,9,,,2,8,LOWER,AM,,,285,19,285,1990-05-09 00:00:00,8,,,1990050908,28.5,,,
1990,5,9,,,2,8,LOWER,AM,,,288,1,285,1990-05-09 00:00:00,8,,,1990050908,28.5,,,
1990,5,9,,,2,8,LOWER,AM,,,290,11,290,1990-05-09 00:00:00,8,,,1990050908,29.0,,,
1990,5,9,,,2,8,LOWER,AM,,,293,10,290,1990-05-09 00:00:00,8,,,1990050908,29.0,,,
1990,5,9,,,2,8,LOWER,AM,,,295,8,295,1990-05-09 00:00:00,8,,,1990050908,29.5,,,
1990,5,9,,,2,8,LOWER,AM,,,298,5,295,1990-05-09 00:00:00,8,,,1990050908,29.5,,,
1990,5,9,,,2,8,LOWER,AM,,,300,6,300,1990-05-09 00:00:00,8,,,1990050908,30.0,,,
1990,5,9,,,2,8,LOWER,AM,,,303,5,300,1990-05-09 00:00:00,8,,,1990050908,30.0,,,
1990,5,9,,,2,8,LOWER,AM,,,305,1,305,1990-05-09 00:00:00,8,,,1990050908,30.5,,,
1990,5,9,,,2,8,LOWER,AM,,,313,1,310,1990-05-09 00:00:00,8,,,1990050908,31.0,,,
1990,5,10,,,2,8,LOWER,PM,,,245,1,245,1990-05-10 00:00:00,8,,,1990051008,24.5,,,
1990,5,10,,,2,8,LOWER,PM,,,253,1,250,1990-05-10 00:00:00,8,,,1990051008,25.0,,,
1990,5,10,,,2,8,LOWER,PM,,,258,4,255,1990-05-10 00:00:00,8,,,1990051008,25.5,,,
1990,5,10,,,2,8,LOWER,PM,,,260,3,260,1990-05-10 00:00:00,8,,,1990051008,26.0,,,
1990,5,10,,,2,8,LOWER,PM,,,263,8,260,1990-05-10 00:00:00,8,,,1990051008,26.0,,,
1990,5,10,,,2,8,LOWER,PM,,,265,4,265,1990-05-10 00:00:00,8,,,1990051008,26.5,,,
1990,5,10,,,2,8,LOWER,PM,,,268,3,265,1990-05-10 00:00:00,8,,,1990051008,26.5,,,
1990,5,10,,,2,8,LOWER,PM,,,270,7,270,1990-05-10 00:00:00,8,,,1990051008,27.0,,,
1990,5,10,,,2,8,LOWER,PM,,,273,4,270,1990-05-10 00:00:00,8,,,1990051008,27.0,,,
1990,5,10,,,2,8,LOWER,PM,,,275,10,275,1990-05-10 00:00:00,8,,,1990051008,27.5,,,
1990,5,10,,,2,8,LOWER,PM,,,278,20,275,1990-05-10 00:00:00,8,,,1990051008,27.5,,,
1990,5,10,,,2,8,LOWER,PM,,,280,11,280,1990-05-10 00:00:00,8,,,1990051008,28.0,,,
1990,5,10,,,2,8,LOWER,PM,,,283,18,280,1990-05-10 00:00:00,8,,,1990051008,28.0,,,
1990,5,10,,,2,8,LOWER,PM,,,285,24,285,1990-05-10 00:00:00,8,,,1990051008,28.5,,,
1990,5,10,,,2,8,LOWER,PM,,,288,12,285,1990-05-10 00:00:00,8,,,1990051008,28.5,,,
1990,5,10,,,2,8,LOWER,PM,,,290,11,290,1990-05-10 00:00:00,8,,,1990051008,29.0,,,
1990,5,10,,,2,8,LOWER,PM,,,293,21,290,1990-05-10 00:00:00,8,,,1990051008,29.0,,,
1990,5,10,,,2,8,LOWER,PM,,,295,14,295,1990-05-10 00:00:00,8,,,1990051008,29.5,,,
1990,5,10,,,2,8,LOWER,PM,,,298,19,295,1990-05-10 00:00:00,8,,,1990051008,29.5,,,
1990,5,10,,,2,8,LOWER,PM,,,300,7,300,1990-05-10 00:00:00,8,,,1990051008,30.0,,,
1990,5,10,,,2,8,LOWER,PM,,,303,13,300,1990-05-10 00:00:00,8,,,1990051008,30.0,,,
1990,5,10,,,2,8,LOWER,PM,,,305,6,305,1990-05-10 00:00:00,8,,,1990051008,30.5,,,
1990,5,10,,,2,8,LOWER,PM,,,308,1,305,1990-05-10 00:00:00,8,,,1990051008,30.5,,,
1990,5,10,,,2,8,LOWER,PM,,,310,1,310,1990-05-10 00:00:00,8,,,1990051008,31.0,,,
1990,5,10,,,2,8,LOWER,PM,,,313,3,310,1990-05-10 00:00:00,8,,,1990051008,31.0,,,
1990,5,10,,,2,48,UPPER,PM,,,248,5,245,1990-05-10 00:00:00,48,,,1990051048,24.5,,,
1990,5,10,,,2,48,UPPER,PM,,,250,2,250,1990-05-10 00:00:00,48,,,1990051048,25.0,,,
1990,5,10,,,2,48,UPPER,PM,,,255,3,255,1990-05-10 00:00:00,48,,,1990051048,25.5,,,
1990,5,10,,,2,48,UPPER,PM,,,258,6,255,1990-05-10 00:00:00,48,,,1990051048,25.5,,,
1990,5,10,,,2,48,UPPER,PM,,,260,4,260,1990-05-10 00:00:00,48,,,1990051048,26.0,,,
1990,5,10,,,2,48,UPPER,PM,,,263,8,260,1990-05-10 00:00:00,48,,,1990051048,26.0,,,
1990,5,10,,,2,48,UPPER,PM,,,265,10,265,1990-05-10 00:00:00,48,,,1990051048,26.5,,,
1990,5,10,,,2,48,UPPER,PM,,,268,6,265,1990-05-10 00:00:00,48,,,1990051048,26.5,,,
1990,5,10,,,2,48,UPPER,PM,,,270,4,270,1990-05-10 00:00:00,48,,,1990051048,27.0,,,
1990,5,10,,,2,48,UPPER,PM,,,273,5,270,1990-05-10 00:00:00,48,,,1990051048,27.0,,,
1990,5,10,,,2,48,UPPER,PM,,,275,8,275,1990-05-10 00:00:00,48,,,1990051048,27.5,,,
1990,5,10,,,2,48,UPPER,PM,,,278,17,275,1990-05-10 00:00:00,48,,,1990051048,27.5,,,
1990,5,10,,,2,48,UPPER,PM,,,280,3,280,1990-05-10 00:00:00,48,,,1990051048,28.0,,,
1990,5,10,,,2,48,UPPER,PM,,,283,11,280,1990-05-10 00:00:00,48,,,1990051048,28.0,,,
1990,5,10,,,2,48,UPPER,PM,,,285,10,285,1990-05-10 00:00:00,48,,,1990051048,28.5,,,
1990,5,10,,,2,48,UPPER,PM,,,288,5,285,1990-05-10 00:00:00,48,,,1990051048,28.5,,,
1990,5,10,,,2,48,UPPER,PM,,,290,4,290,1990-05-10 00:00:00,48,,,1990051048,29.0,,,
1990,5,10,,,2,48,UPPER,PM,,,293,14,290,1990-05-10 00:00:00,48,,,1990051048,29.0,,,
1990,5,10,,,2,48,UPPER,PM,,,295,2,295,1990-05-10 00:00:00,48,,,1990051048,29.5,,,
1990,5,10,,,2,48,UPPER,PM,,,298,10,295,1990-05-10 00:00:00,48,,,1990051048,29.5,,,
1990,5,10,,,2,48,UPPER,PM,,,300,3,300,1990-05-10 00:00:00,48,,,1990051048,30.0,,,
