,count,length_bin_id,sample_id
0,2,25.0,1990050712
1,4,25.5,1990050712
2,10,26.0,1990050712
3,17,26.5,1990050712
4,11,27.0,1990050712
5,22,27.5,1990050712
6,14,28.0,1990050712
7,25,28.5,1990050712
8,21,29.0,1990050712
9,12,29.5,1990050712
10,7,30.0,1990050712
11,3,30.5,1990050712
12,8,31.0,1990050712
13,1,31.5,1990050712
14,5,24.5,1990050805
15,5,25.0,1990050805
16,9,25.5,1990050805
17,22,26.0,1990050805
18,15,26.5,1990050805
19,19,27.0,1990050805
20,16,27.5,1990050805
21,9,28.0,1990050805
22,20,28.5,1990050805
23,10,29.0,1990050805
24,10,29.5,1990050805
25,8,30.0,1990050805
26,2,30.5,1990050805
27,2,31.0,1990050805
28,2,24.0,1990050908
29,1,24.5,1990050908
30,17,25.0,1990050908
31,17,25.5,1990050908
32,26,26.0,1990050908
33,31,26.5,1990050908
34,15,27.0,1990050908
35,31,27.5,1990050908
36,20,28.0,1990050908
37,20,28.5,1990050908
38,21,29.0,1990050908
39,13,29.5,1990050908
40,11,30.0,1990050908
41,1,30.5,1990050908
42,1,31.0,1990050908
43,1,24.5,1990051008
44,1,25.0,1990051008
45,4,25.5,1990051008
46,11,26.0,1990051008
47,7,26.5,1990051008
48,11,27.0,1990051008
49,30,27.5,1990051008
50,29,28.0,1990051008
51,36,28.5,1990051008
52,32,29.0,1990051008
53,33,29.5,1990051008
54,20,30.0,1990051008
55,7,30.5,1990051008
56,4,31.0,1990051008
57,5,24.5,1990051048
58,2,25.0,1990051048
59,9,25.5,1990051048
60,12,26.0,1990051048
61,16,26.5,1990051048
62,9,27.0,1990051048
63,25,27.5,1990051048
64,14,28.0,1990051048
65,15,28.5,1990051048
66,18,29.0,1990051048
67,12,29.5,1990051048
68,8,30.0,1990051048
69,2,30.5,1990051048
70,3,31.0,1990051048
71,2,24.5,1990051104
72,3,25.0,1990051104
73,10,25.5,1990051104
74,14,26.0,1990051104
75,12,26.5,1990051104
76,17,27.0,1990051104
77,22,27.5,1990051104
78,17,28.0,1990051104
79,25,28.5,1990051104
80,22,29.0,1990051104
81,13,29.5,1990051104
82,10,30.0,1990051104
83,2,31.0,1990051104
84,1,25.0,1990051134
85,1,25.5,1990051134
86,11,26.0,1990051134
87,12,26.5,1990051134
88,16,27.0,1990051134
89,37,27.5,1990051134
90,30,28.0,1990051134
91,38,28.5,1990051134
92,36,29.0,1990051134
93,17,29.5,1990051134
94,9,30.0,1990051134
95,5,30.5,1990051134
96,3,31.0,1990051134
97,1,31.5,1990051134
98,1,32.0,1990051134
99,1,24.5,1990051256
100,7,25.0,1990051256
101,6,25.5,1990051256
102,8,26.0,1990051256
103,15,26.5,1990051256
104,16,27.0,1990051256
105,42,27.5,1990051256
106,27,28.0,1990051256
107,35,28.5,1990051256
108,27,29.0,1990051256
109,14,29.5,1990051256
110,10,30.0,1990051256
111,4,30.5,1990051256
112,2,31.0,1990051256
113,1,23.0,1990051423
114,1,23.5,1990051423
115,6,24.0,1990051423
116,20,24.5,1990051423
117,21,25.0,1990051423
118,30,25.5,1990051423
119,17,26.0,1990051423
120,19,26.5,1990051423
121,18,27.0,1990051423
122,9,27.5,1990051423
123,17,28.0,1990051423
124,9,28.5,1990051423
125,5,29.0,1990051423
126,3,29.5,1990051423
127,1,30.0,1990051423
128,4,24.0,1990051467
129,17,24.5,1990051467
130,34,25.0,1990051467
131,29,25.5,1990051467
132,18,26.0,1990051467
133,30,26.5,1990051467
134,19,27.0,1990051467
135,19,27.5,1990051467
136,18,28.0,1990051467
