site,zone,latitude_n,longitude_w,license_number,name
1,lower,,,,
2,lower,,,,
4,lower,,,,
5,lower,,,,
6,lower,,,,
7,lower,,,,
8,lower,,,,
9,lower,,,,
11,lower,,,,
12,upper,,,,
15,lower,,,,
17,lower,,,,
18,lower,,,,
19,lower,,,,
20,lower,,,,
21,lower,,,,
23,lower,,,,
24,lower,,,,
25,lower,,,,
26,lower,,,,
27,lower,,,,
28,upper,,,,
29,upper,,,,
30,upper,,,,
31,upper,,,,
32,upper,,,,
33,upper,,,,
34,upper,,,,
35,upper,,,,
37,upper,,,,
38,upper,,,,
39,upper,,,,
40,upper,,,,
41,upper,,,,
43,upper,,,,
44,upper,,,,
45,upper,,,,
46,upper,,,,
47,upper,,,,
48,upper,,,,
49,upper,,,,
50,upper,,,,
51,upper,,,,
52,upper,,,,
54,upper,,,,
55,upper,,,,
56,upper,,,,
57,upper,,,,
58,upper,,,,
59,upper,,,,
60,upper,,,,
61,upper,,,,
62,upper,,,,
63,upper,,,,
64,upper,,,,
65,upper,,,,
66,upper,,,,
67,upper,,,,
68,upper,,,,
1A,lower,,,,
1B,lower,,,,
