sample_id,length_bin_id,count
1990050712,25.0,2
1990050712,25.5,4
1990050712,26.0,10
1990050712,26.5,17
1990050712,27.0,11
1990050712,27.5,22
1990050712,28.0,14
1990050712,28.5,25
1990050712,29.0,21
1990050712,29.5,12
1990050712,30.0,7
1990050712,30.5,3
1990050712,31.0,8
1990050712,31.5,1
1990050805,24.5,5
1990050805,25.0,5
1990050805,25.5,9
1990050805,26.0,22
1990050805,26.5,15
1990050805,27.0,19
1990050805,27.5,16
1990050805,28.0,9
1990050805,28.5,20
1990050805,29.0,10
1990050805,29.5,10
1990050805,30.0,8
1990050805,30.5,2
1990050805,31.0,2
1990050908,24.0,2
1990050908,24.5,1
1990050908,25.0,17
1990050908,25.5,17
1990050908,26.0,26
1990050908,26.5,31
1990050908,27.0,15
1990050908,27.5,31
1990050908,28.0,20
1990050908,28.5,20
1990050908,29.0,21
1990050908,29.5,13
1990050908,30.0,11
1990050908,30.5,1
1990050908,31.0,1
1990051008,24.5,1
1990051008,25.0,1
1990051008,25.5,4
1990051008,26.0,11
1990051008,26.5,7
1990051008,27.0,11
1990051008,27.5,30
1990051008,28.0,29
1990051008,28.5,36
1990051008,29.0,32
1990051008,29.5,33
1990051008,30.0,20
1990051008,30.5,7
1990051008,31.0,4
1990051048,24.5,5
1990051048,25.0,2
1990051048,25.5,9
1990051048,26.0,12
1990051048,26.5,16
1990051048,27.0,9
1990051048,27.5,25
1990051048,28.0,14
1990051048,28.5,15
1990051048,29.0,18
1990051048,29.5,12
1990051048,30.0,8
1990051048,30.5,2
1990051048,31.0,3
1990051104,24.5,2
1990051104,25.0,3
1990051104,25.5,10
1990051104,26.0,14
1990051104,26.5,12
1990051104,27.0,17
1990051104,27.5,22
1990051104,28.0,17
1990051104,28.5,25
1990051104,29.0,22
1990051104,29.5,13
1990051104,30.0,10
1990051104,31.0,2
1990051134,25.0,1
1990051134,25.5,1
1990051134,26.0,11
1990051134,26.5,12
1990051134,27.0,16
1990051134,27.5,37
1990051134,28.0,30
1990051134,28.5,38
1990051134,29.0,36
1990051134,29.5,17
1990051134,30.0,9
1990051134,30.5,5
1990051134,31.0,3
1990051134,31.5,1
1990051134,32.0,1
1990051256,24.5,1
1990051256,25.0,7
1990051256,25.5,6
1990051256,26.0,8
1990051256,26.5,15
1990051256,27.0,16
1990051256,27.5,42
1990051256,28.0,27
1990051256,28.5,35
1990051256,29.0,27
1990051256,29.5,14
1990051256,30.0,10
1990051256,30.5,4
1990051256,31.0,2
1990051423,23.0,1
1990051423,23.5,1
1990051423,24.0,6
1990051423,24.5,20
1990051423,25.0,21
1990051423,25.5,30
1990051423,26.0,17
1990051423,26.5,19
1990051423,27.0,18
1990051423,27.5,9
1990051423,28.0,17
1990051423,28.5,9
1990051423,29.0,5
1990051423,29.5,3
1990051423,30.0,1
1990051467,24.0,4
1990051467,24.5,17
1990051467,25.0,34
1990051467,25.5,29
1990051467,26.0,18
1990051467,26.5,30
1990051467,27.0,19
1990051467,27.5,19
1990051467,28.0,18
1990051467,28.5,14
1990051467,29.0,7
1990051467,29.5,3
1990051467,30.0,3
1990051467,30.5,1
1990051467,31.0,1
1990051512,23.5,7
1990051512,24.0,8
1990051512,24.5,14
1990051512,25.0,18
1990051512,25.5,20
1990051512,26.0,33
1990051512,26.5,27
1990051512,27.0,28
1990051512,27.5,24
1990051512,28.0,20
1990051512,28.5,18
1990051512,29.0,6
1990051512,29.5,1
1990051533,23.5,1
1990051533,24.0,6
1990051533,24.5,15
1990051533,25.0,31
1990051533,25.5,22
1990051533,26.0,21
1990051533,26.5,25
1990051533,27.0,20
1990051533,27.5,13
1990051533,28.0,12
1990051533,28.5,8
1990051533,29.0,4
1990051533,29.5,4
1990051533,30.0,1
1990051601,23.5,3
1990051601,24.0,12
1990051601,24.5,23
1990051601,25.0,20
1990051601,25.5,10
1990051601,26.0,19
1990051601,26.5,25
1990051601,27.0,14
1990051601,27.5,12
1990051601,28.0,11
1990051601,28.5,8
1990051601,29.0,5
1990051601,29.5,3
1990051601,30.0,1
1990051635,23.0,1
1990051635,23.5,3
1990051635,24.0,12
1990051635,24.5,22
1990051635,25.0,24
1990051635,25.5,25
1990051635,26.0,24
1990051635,26.5,21
1990051635,27.0,18
1990051635,27.5,18
1990051635,28.0,19
1990051635,28.5,5
