yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin
1990,5,7,,,2,12,LOWER,PM,,,250,1,250
1990,5,7,,,2,12,LOWER,PM,,,253,1,250
1990,5,7,,,2,12,LOWER,PM,,,255,2,255
1990,5,7,,,2,12,LOWER,PM,,,258,2,255
1990,5,7,,,2,12,LOWER,PM,,,260,7,260
1990,5,7,,,2,12,LOWER,PM,,,263,3,260
1990,5,7,,,2,12,LOWER,PM,,,265,13,265
1990,5,7,,,2,12,LOWER,PM,,,268,4,265
1990,5,7,,,2,12,LOWER,PM,,,270,5,270
1990,5,7,,,2,12,LOWER,PM,,,273,6,270
1990,5,7,,,2,12,LOWER,PM,,,275,14,275
1990,5,7,,,2,12,LOWER,PM,,,278,8,275
1990,5,7,,,2,12,LOWER,PM,,,280,7,280
1990,5,7,,,2,12,LOWER,PM,,,283,7,280
1990,5,7,,,2,12,LOWER,PM,,,285,11,285
1990,5,7,,,2,12,LOWER,PM,,,288,14,285
1990,5,7,,,2,12,LOWER,PM,,,290,13,290
1990,5,7,,,2,12,LOWER,PM,,,293,8,290
1990,5,7,,,2,12,LOWER,PM,,,295,8,295
1990,5,7,,,2,12,LOWER,PM,,,298,4,295
1990,5,7,,,2,12,LOWER,PM,,,300,2,300
1990,5,7,,,2,12,LOWER,PM,,,303,5,300
1990,5,7,,,2,12,LOWER,PM,,,305,2,305
1990,5,7,,,2,12,LOWER,PM,,,308,1,305
1990,5,7,,,2,12,LOWER,PM,,,310,6,310
1990,5,7,,,2,12,LOWER,PM,,,313,2,310
1990,5,7,,,2,12,LOWER,PM,,,315,1,315
1990,5,8,,,2,5,LOWER,PM,,,245,1,245
1990,5,8,,,2,5,LOWER,PM,,,248,4,245
1990,5,8,,,2,5,LOWER,PM,,,250,3,250
1990,5,8,,,2,5,LOWER,PM,,,253,2,250
1990,5,8,,,2,5,LOWER,PM,,,255,2,255
1990,5,8,,,2,5,LOWER,PM,,,258,7,255
1990,5,8,,,2,5,LOWER,PM,,,260,8,260
1990,5,8,,,2,5,LOWER,PM,,,263,14,260
1990,5,8,,,2,5,LOWER,PM,,,265,5,265
1990,5,8,,,2,5,LOWER,PM,,,268,10,265
1990,5,8,,,2,5,LOWER,PM,,,270,7,270
1990,5,8,,,2,5,LOWER,PM,,,273,12,270
1990,5,8,,,2,5,LOWER,PM,,,275,4,275
1990,5,8,,,2,5,LOWER,PM,,,278,12,275
1990,5,8,,,2,5,LOWER,PM,,,280,2,280
1990,5,8,,,2,5,LOWER,PM,,,283,7,280
1990,5,8,,,2,5,LOWER,PM,,,285,11,285
1990,5,8,,,2,5,LOWER,PM,,,288,9,285
1990,5,8,,,2,5,LOWER,PM,,,290,4,290
1990,5,8,,,2,5,LOWER,PM,,,293,6,290
1990,5,8,,,2,5,LOWER,PM,,,295,3,295
1990,5,8,,,2,5,LOWER,PM,,,298,7,295
